Club,Predecessor,Join date,Coach
Crystal Palace,Frank de Boer,11/9/2017,Roy Hodgson
Newcastle,Rafael Benítez,30/6/2019,Steve Bruce
Chelsea,Maurizio Sarri,30/6/2019,Frank Lampard
Brighton,Chris Hughton,13/5/2019,Graham Potter
Man United,Ole Gunnar Solskjær,28/3/2019,Ole Gunnar Solskjær
Fulham,Claudio Ranieri,28/2/2019,Scott Parker
Leicester,Adam Sadler,26/2/2019,Brendan Rodgers
Leicester,Mike Stowell,26/2/2019,Brendan Rodgers
Leicester,Claude Puel,24/2/2019,Mike Stowell
Huddersfield,Mark Hudson,21/1/2019,Jan Siewert
Huddersfield,David Wagner,14/1/2019,Mark Hudson
Man United,José Mourinho,18/12/2018,Ole Gunnar Solskjær
Southampton,Kelvin Davis,5/12/2018,Ralph Hasenhüttl
Southampton,Mark Hughes,3/12/2018,Kelvin Davis
Fulham,Slavisa Jokanovic,14/11/2018,Claudio Ranieri
Chelsea,Antonio Conte,13/7/2018,Maurizio Sarri
Watford,Hayden Mullins,27/7/2020,Vladimir Ivic
Watford,Nigel Pearson,19/7/2020,Hayden Mullins
West Ham,Manuel Pellegrini,28/12/2019,David Moyes
Arsenal,Freddie Ljungberg,21/12/2019,Mikel Arteta
Everton,Duncan Ferguson,21/12/2019,Carlo Ancelotti
Watford,Hayden Mullins,8/12/2019,Nigel Pearson
Everton,Marco Silva,5/12/2019,Duncan Ferguson
Watford,Quique Sánchez Flores,1/12/2019,Hayden Mullins
Arsenal,Unai Emery,29/11/2019,Freddie Ljungberg
Tottenham,Mauricio Pochettino,19/11/2019,José Mourinho
Watford,Javi Gracia,7/9/2019,Quique Sánchez Flores
Tottenham,Ryan Mason,30/6/2021,Nuno Espírito Santo
Crystal Palace,Roy Hodgson,30/6/2021,Patrick Vieira
Everton,Carlo Ancelotti,30/6/2021,Rafael Benítez
West Brom,Sam Allardyce,30/6/2021,Valérien Ismaël
Fulham,Scott Parker,30/6/2021,Marco Silva
Wolves,Nuno Espírito Santo,30/6/2021,Bruno Lage
Sheffield,Paul Heckingbottom,30/6/2021,Slavisa Jokanovic
Tottenham,José Mourinho,19/4/2021,Ryan Mason
Sheffield,Chris Wilder,12/3/2021,Paul Heckingbottom
Chelsea,Frank Lampard,25/1/2021,Thomas Tuchel
West Brom,Slaven Bilic,16/12/2020,Sam Allardyce
Burnley,Mike Jackson,30/6/2022,Vincent Kompany
Watford,Roy Hodgson,30/6/2022,Rob Edwards
Man United,Ralf Rangnick,31/5/2022,Erik ten Hag
Burnley,Sean Dyche,15/4/2022,Mike Jackson
Leeds,Marcelo Bielsa,27/2/2022,Jesse Marsch
Everton,Duncan Ferguson,30/1/2022,Frank Lampard
Watford,Claudio Ranieri,24/1/2022,Roy Hodgson
Everton,Rafael Benítez,16/1/2022,Duncan Ferguson
Man United,Michael Carrick,3/12/2021,Ralf Rangnick
Man United,Ole Gunnar Solskjær,21/11/2021,Michael Carrick
Aston Villa,Dean Smith,7/11/2021,Steven Gerrard
Newcastle,Graeme Jones,7/11/2021,Eddie Howe
Norwich,Daniel Farke,6/11/2021,Dean Smith
Tottenham,Nuno Espírito Santo,1/11/2021,Antonio Conte
Newcastle,Steve Bruce,20/10/2021,Graeme Jones
Watford,Xisco Muñoz,3/10/2021,Claudio Ranieri
Leeds,Sam Allardyce,30/6/2023,Daniel Farke
Southampton,Rubén Sellés,30/6/2023,Russell Martin
Chelsea,Frank Lampard,30/6/2023,Mauricio Pochettino
Leicester,Dean Smith,30/6/2023,Enzo Maresca
Tottenham,Ryan Mason,30/6/2023,Ange Postecoglou
Bournemouth,Gary O'Neil,19/6/2023,Andoni Iraola
Leeds,Javi Gracia,2/5/2023,Sam Allardyce
Tottenham,Cristian Stellini,24/4/2023,Ryan Mason
Leicester,Adam Sadler,10/4/2023,Dean Smith
Leicester,Mike Stowell,10/4/2023,Dean Smith
Chelsea,Bruno Saltor,5/4/2023,Frank Lampard
Leicester,Brendan Rodgers,2/4/2023,Adam Sadler
Chelsea,Graham Potter,2/4/2023,Bruno Saltor
Tottenham,Antonio Conte,26/3/2023,Cristian Stellini
Crystal Palace,Patrick McCarthy,20/3/2023,Roy Hodgson
Crystal Palace,Patrick Vieira,17/3/2023,Patrick McCarthy
Southampton,Rubén Sellés,23/2/2023,Rubén Sellés
Leeds,Michael Skubala,23/2/2023,Javi Gracia
Southampton,Nathan Jones,12/2/2023,Rubén Sellés
Leeds,Jesse Marsch,6/2/2023,Michael Skubala
Everton,Paul Tait,29/1/2023,Sean Dyche
Everton,Leighton Baines,29/1/2023,Sean Dyche
Everton,Frank Lampard,23/1/2023,Paul Tait
Bournemouth,Gary O'Neil,27/11/2022,Gary O'Neil
Wolves,Steve Davis,13/11/2022,Julen Lopetegui
Southampton,Rubén Sellés,9/11/2022,Nathan Jones
Southampton,Ralph Hasenhüttl,7/11/2022,Rubén Sellés
Aston Villa,Aaron Danks,31/10/2022,Unai Emery
Aston Villa,Steven Gerrard,20/10/2022,Aaron Danks
Wolves,Bruno Lage,2/10/2022,Steve Davis
Brighton,Andrew Crofts,17/9/2022,Roberto De Zerbi
Chelsea,Thomas Tuchel,7/9/2022,Graham Potter
Brighton,Graham Potter,7/9/2022,Andrew Crofts
Bournemouth,Scott Parker,30/8/2022,Gary O'Neil
